,title,imdbid,id,rating,year
118,Humorous Phases of Funny Faces,0000554,5435,0,1906
119,"Hilarious Posters, The",0135122,5603,0,1906
120,"400 Tricks of the Devil, The",0000567,5684,0,1906
121,A Funny Shave,0449172,6206,0,1906
122,"Consequence of Feminism, The",1260944,7215,0,1906
123,"Eclipse: Courtship of the Sun and Moon, The",0215737,5223,0,1907
124,Good Glue Sticks,0215817,5615,0,1907
125,Unusual Cooking,1802750,6231,0,1908
126,"Princess Nicotine; or, The Smoke Fairy",0001009,4409,2,1909
127,"Devilish Tenant, The",0127948,5635,0,1909
128,Le barometre de la fidelite,0277596,6211,1,1909
129,Tilly the Tomboy Visits the Poor,0232821,1464,3,1910
130,Mobilier fidele,0486978,4983,0,1910
131,A Trip to Mars,1515725,5685,0,1910
132,Cleopatra,0002101,2003,2,1912
133,"Invaders, The",0002281,2005,0,1912
134,Max and the Donkey,0277865,5357,0,1912
135,"Voyage of the Bourrichon Family, The",0003512,5364,0,1913
136,Suspense,0003424,5915,0,1913
137,A Florida Enchantment,0003973,4457,2,1914
138,"Birth of a Nation, The",0004972,1258,2,1915
139,Gretchen the Greenhorn,0006745,2008,3,1916
140,Lady Windermere&#39;s Fan,0279914,2014,3,1916
141,"Vagabond, The",0007507,5368,0,1916
142,Intolerance: Love&#39;s Struggle Throughout the Ages,0006864,5944,0,1916
143,Snow White,0007361,7004,3,1916
144,A Tale of Two Cities,0008652,1981,3,1917
145,Rebecca of Sunnybrook Farm,0008499,1993,3,1917
146,"Poor Little Rich Girl, The",0008443,1994,3,1917
147,A Romance of the Redwoods,0008519,2015,0,1917
148,"Raffles, the Amateur Cracksman",0008489,2019,2,1917
149,Tarzan of the Apes,0009682,1996,3,1918
150,Stella Maris,0009652,2007,3,1918
151,Are Crooks Dishonest?,0008844,5441,0,1918
152,Ich mochte kein Mann sein,0010281,7108,3,1918
153,When the Clouds Roll by,0010879,2018,3,1919
154,Broken Blossoms or The Yellow Man and the Girl,0009968,2588,0,1919
155,"Cabinet of Dr. Caligari, The",0010323,1306,0,1920
156,Pollyanna,0011588,1991,3,1920
157,Within Our Gates,0011870,5948,3,1920
